Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2019-08-17,2019-2020,La Liga,Granada,Villarreal,Away,4,4,D,Rui Silva,Y,GK,90,,,,,,,,,,,
2019-08-23,2019-2020,La Liga,Granada,Sevilla,Home,0,1,L,Rui Silva,Y,GK,90,,,,,,,,,,,
2019-09-01,2019-2020,La Liga,Granada,Espanyol,Away,3,0,W,Rui Silva,Y,GK,90,,,,,,,,,,,
2019-09-15,2019-2020,La Liga,Granada,Celta Vigo,Home,2,0,W,Rui Silva,Y,GK,90,,,,,,,,,,,
2019-09-21,2019-2020,La Liga,Granada,Barcelona,Home,2,0,W,Rui Silva,Y,GK,90,,,,,,,,,,,
2019-09-24,2019-2020,La Liga,Granada,Valladolid,Away,1,1,D,Rui Silva,Y,GK,90,,,,,,,,,,,
2019-09-28,2019-2020,La Liga,Granada,Leganés,Home,1,0,W,Rui Silva,Y,GK,90,,,,,,,,,,,
2019-10-05,2019-2020,La Liga,Granada,Real Madrid,Away,2,4,L,Rui Silva,Y,GK,90,,,,,,,,,,,
2019-10-18,2019-2020,La Liga,Granada,Osasuna,Home,1,0,W,Rui Silva,Y,GK,90,,,,,,,,,,,
2019-10-27,2019-2020,La Liga,Granada,Real Betis,Home,1,0,W,Rui Silva,Y,GK,90,,,,,,,,,,,
2019-10-31,2019-2020,La Liga,Granada,Getafe,Away,1,3,L,Rui Silva,Y,GK,90,,,,,,,,,,,
2019-11-03,2019-2020,La Liga,Granada,Real Sociedad,Home,1,2,L,Rui Silva,Y,GK,90,,,,,,,,,,,
2019-11-09,2019-2020,La Liga,Granada,Valencia,Away,0,2,L,Rui Silva,Y,GK,90,,,,,,,,,,,
2019-11-23,2019-2020,La Liga,Granada,Atlético Madrid,Home,1,1,D,Rui Silva,Y,GK,90,,,,,,,,,,,
2019-12-01,2019-2020,La Liga,Granada,Athletic Club,Away,0,2,L,Rui Silva,Y,GK,90,,,,,,,,,,,
2019-12-07,2019-2020,La Liga,Granada,Alavés,Home,3,0,W,Rui Silva,Y,GK,90,,,,,,,,,,,
2019-12-14,2019-2020,La Liga,Granada,Levante,Home,1,2,L,Rui Silva,Y,GK,90,,,,,,,,,,,
2019-12-20,2019-2020,La Liga,Granada,Eibar,Away,0,3,L,Rui Silva,Y,GK,90,,,,,,,,,,,
2020-01-05,2019-2020,La Liga,Granada,Mallorca,Home,1,0,W,Rui Silva,Y,GK,90,,,,,,,,,,,
2020-01-19,2019-2020,La Liga,Granada,Barcelona,Away,0,1,L,Rui Silva,Y,GK,90,,,,,,,,,,,
2020-01-25,2019-2020,La Liga,Granada,Sevilla,Away,0,2,L,Rui Silva,Y,GK,90,,,,,,,,,,,
2020-02-01,2019-2020,La Liga,Granada,Espanyol,Home,2,1,W,Rui Silva,Y,GK,90,,,,,,,,,,,
2020-02-15,2019-2020,La Liga,Granada,Valladolid,Home,2,1,W,Rui Silva,Y,GK,90,,,,,,,,,,,
2020-02-23,2019-2020,La Liga,Granada,Osasuna,Away,3,0,W,Rui Silva,Y,GK,90,,,,,,,,,,,
2020-02-29,2019-2020,La Liga,Granada,Celta Vigo,Home,0,0,D,Rui Silva,Y,GK,90,,,,,,,,,,,
2020-03-08,2019-2020,La Liga,Granada,Levante,Away,1,1,D,Rui Silva,Y,GK,90,,,,,,,,,,,
2020-06-12,2019-2020,La Liga,Granada,Getafe,Home,2,1,W,Rui Silva,Y,GK,90,,,,,,,,,,,
2020-06-15,2019-2020,La Liga,Granada,Real Betis,Away,2,2,D,Rui Silva,Y,GK,90,,,,,,,,,,,
2020-06-19,2019-2020,La Liga,Granada,Villarreal,Home,0,1,L,Rui Silva,Y,GK,90,,,,,,,,,,,
2020-06-22,2019-2020,La Liga,Granada,Leganés,Away,0,0,D,Rui Silva,Y,GK,90,,,,,,,,,,,
2020-07-04,2019-2020,La Liga,Granada,Valencia,Home,2,2,D,Rui Silva,Y,GK,90,,,,,,,,,,,
2020-07-10,2019-2020,La Liga,Granada,Real Sociedad,Away,3,2,W,Rui Silva,Y,GK,90,,,,,,,,,,,
2020-07-13,2019-2020,La Liga,Granada,Real Madrid,Home,1,2,L,Rui Silva,Y,GK,90,,,,,,,,,,,
2020-07-16,2019-2020,La Liga,Granada,Mallorca,Away,2,1,W,Rui Silva,Y,GK,90,,,,,,,,,,,
2020-07-19,2019-2020,La Liga,Granada,Athletic Club,Home,4,0,W,Rui Silva,Y,GK,90,,,,,,,,,,,
